Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
238,207184,Dracula-165307,Paralelo,4
239,204080,Dracula-165307,Paralelo,4
240,217902,Dracula-165307,Paralelo,4
241,208077,Dracula-165307,Paralelo,4
242,204499,Dracula-165307,Paralelo,4
243,201561,Dracula-165307,Paralelo,4
244,216805,Dracula-165307,Paralelo,4
245,197958,Dracula-165307,Paralelo,4
246,254601,Dracula-165307,Paralelo,4
247,203180,Dracula-165307,Paralelo,4
248,195159,Dracula-165307,Paralelo,4
249,209810,Dracula-165307,Paralelo,4
250,218430,Dracula-165307,Paralelo,4
251,205218,Dracula-165307,Paralelo,4
252,204029,Dracula-165307,Paralelo,4
253,198108,Dracula-165307,Paralelo,4
254,193975,Dracula-165307,Paralelo,4
255,226754,Dracula-165307,Paralelo,4
256,198535,Dracula-165307,Paralelo,4
257,211867,Dracula-165307,Paralelo,4
258,201246,Dracula-165307,Paralelo,4
259,201378,Dracula-165307,Paralelo,4
260,216138,Dracula-165307,Paralelo,4
261,206097,Dracula-165307,Paralelo,4
262,201656,Dracula-165307,Paralelo,4
263,204687,Dracula-165307,Paralelo,4
264,205563,Dracula-165307,Paralelo,4
265,221879,Dracula-165307,Paralelo,4
266,221191,Dracula-165307,Paralelo,4
267,202071,Dracula-165307,Paralelo,4
268,192603,Dracula-165307,Paralelo,4
269,210884,Dracula-165307,Paralelo,4
270,222037,Dracula-165307,Paralelo,4
271,200018,Dracula-165307,Paralelo,4
272,214833,Dracula-165307,Paralelo,4
273,200978,Dracula-165307,Paralelo,4
274,206163,Dracula-165307,Paralelo,4
275,198802,Dracula-165307,Paralelo,4
276,210400,Dracula-165307,Paralelo,4
277,207641,Dracula-165307,Paralelo,4
278,238653,Dracula-165307,Paralelo,4
279,233554,Dracula-165307,Paralelo,4
280,211713,Dracula-165307,Paralelo,4
281,214579,Dracula-165307,Paralelo,4
282,232696,Dracula-165307,Paralelo,4
283,266724,Dracula-165307,Paralelo,4
284,213914,Dracula-165307,Paralelo,4
285,214009,Dracula-165307,Paralelo,4
286,246499,Dracula-165307,Paralelo,4
287,213620,Dracula-165307,Paralelo,4
288,211782,Dracula-165307,Paralelo,4
289,210814,Dracula-165307,Paralelo,4
290,209441,Dracula-165307,Paralelo,4
291,256689,Dracula-165307,Paralelo,4
292,215270,Dracula-165307,Paralelo,4
293,205641,Dracula-165307,Paralelo,4
294,209136,Dracula-165307,Paralelo,4
295,224442,Dracula-165307,Paralelo,4
296,215612,Dracula-165307,Paralelo,4
297,229883,Dracula-165307,Paralelo,4
