Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
456,74360519,DonQuixote-388208,Paralelo-GPU,4
457,69927402,DonQuixote-388208,Paralelo-GPU,4
458,71263557,DonQuixote-388208,Paralelo-GPU,4
459,70447489,DonQuixote-388208,Paralelo-GPU,4
460,70953531,DonQuixote-388208,Paralelo-GPU,4
461,67188004,DonQuixote-388208,Paralelo-GPU,4
462,66613972,DonQuixote-388208,Paralelo-GPU,4
463,66211723,DonQuixote-388208,Paralelo-GPU,4
464,64005192,DonQuixote-388208,Paralelo-GPU,4
465,66241431,DonQuixote-388208,Paralelo-GPU,4
466,68236221,DonQuixote-388208,Paralelo-GPU,4
467,68750151,DonQuixote-388208,Paralelo-GPU,4
468,99373172,DonQuixote-388208,Paralelo-GPU,4
469,67575092,DonQuixote-388208,Paralelo-GPU,4
470,67827707,DonQuixote-388208,Paralelo-GPU,4
471,68210871,DonQuixote-388208,Paralelo-GPU,4
472,67905439,DonQuixote-388208,Paralelo-GPU,4
473,66529885,DonQuixote-388208,Paralelo-GPU,4
474,63390890,DonQuixote-388208,Paralelo-GPU,4
475,67337737,DonQuixote-388208,Paralelo-GPU,4
476,70297587,DonQuixote-388208,Paralelo-GPU,4
477,72235216,DonQuixote-388208,Paralelo-GPU,4
478,72221810,DonQuixote-388208,Paralelo-GPU,4
479,71814745,DonQuixote-388208,Paralelo-GPU,4
480,73058051,DonQuixote-388208,Paralelo-GPU,4
481,77957404,DonQuixote-388208,Paralelo-GPU,4
482,84374226,DonQuixote-388208,Paralelo-GPU,4
483,78748605,DonQuixote-388208,Paralelo-GPU,4
484,81605035,DonQuixote-388208,Paralelo-GPU,4
485,76959889,DonQuixote-388208,Paralelo-GPU,4
486,73109388,DonQuixote-388208,Paralelo-GPU,4
487,73123506,DonQuixote-388208,Paralelo-GPU,4
488,78994585,DonQuixote-388208,Paralelo-GPU,4
489,73177815,DonQuixote-388208,Paralelo-GPU,4
490,74791163,DonQuixote-388208,Paralelo-GPU,4
491,76959262,DonQuixote-388208,Paralelo-GPU,4
492,72707377,DonQuixote-388208,Paralelo-GPU,4
493,75389108,DonQuixote-388208,Paralelo-GPU,4
494,82073485,DonQuixote-388208,Paralelo-GPU,4
495,77595456,DonQuixote-388208,Paralelo-GPU,4
496,80149944,DonQuixote-388208,Paralelo-GPU,4
