Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
167,66493566,MobyDick-217452,Paralelo-GPU,4
168,66192866,MobyDick-217452,Paralelo-GPU,4
169,64912132,MobyDick-217452,Paralelo-GPU,4
170,97264620,MobyDick-217452,Paralelo-GPU,4
171,71959504,MobyDick-217452,Paralelo-GPU,4
172,71448703,MobyDick-217452,Paralelo-GPU,4
173,67508767,MobyDick-217452,Paralelo-GPU,4
174,66711144,MobyDick-217452,Paralelo-GPU,4
175,71453360,MobyDick-217452,Paralelo-GPU,4
176,86192103,MobyDick-217452,Paralelo-GPU,4
177,78608727,MobyDick-217452,Paralelo-GPU,4
178,66184018,MobyDick-217452,Paralelo-GPU,4
179,66292910,MobyDick-217452,Paralelo-GPU,4
180,63193384,MobyDick-217452,Paralelo-GPU,4
181,67178730,MobyDick-217452,Paralelo-GPU,4
182,68293926,MobyDick-217452,Paralelo-GPU,4
183,94915071,MobyDick-217452,Paralelo-GPU,4
184,137625759,MobyDick-217452,Paralelo-GPU,4
185,86051772,MobyDick-217452,Paralelo-GPU,4
186,147722161,MobyDick-217452,Paralelo-GPU,4
187,121528804,MobyDick-217452,Paralelo-GPU,4
188,66858952,MobyDick-217452,Paralelo-GPU,4
189,64614711,MobyDick-217452,Paralelo-GPU,4
190,75612377,MobyDick-217452,Paralelo-GPU,4
191,77460886,MobyDick-217452,Paralelo-GPU,4
192,65328675,MobyDick-217452,Paralelo-GPU,4
193,64654442,MobyDick-217452,Paralelo-GPU,4
194,63614357,MobyDick-217452,Paralelo-GPU,4
195,61259426,MobyDick-217452,Paralelo-GPU,4
196,63323213,MobyDick-217452,Paralelo-GPU,4
197,88774513,MobyDick-217452,Paralelo-GPU,4
198,63690725,MobyDick-217452,Paralelo-GPU,4
199,69087482,MobyDick-217452,Paralelo-GPU,4
200,60578772,MobyDick-217452,Paralelo-GPU,4
201,94819104,MobyDick-217452,Paralelo-GPU,4
202,99938930,MobyDick-217452,Paralelo-GPU,4
203,97984755,MobyDick-217452,Paralelo-GPU,4
204,82696143,MobyDick-217452,Paralelo-GPU,4
205,66878671,MobyDick-217452,Paralelo-GPU,4
206,57476032,MobyDick-217452,Paralelo-GPU,4
207,59551528,MobyDick-217452,Paralelo-GPU,4
208,63145002,MobyDick-217452,Paralelo-GPU,4
209,60246962,MobyDick-217452,Paralelo-GPU,4
210,59402541,MobyDick-217452,Paralelo-GPU,4
211,64371232,MobyDick-217452,Paralelo-GPU,4
212,79238577,MobyDick-217452,Paralelo-GPU,4
213,61425211,MobyDick-217452,Paralelo-GPU,4
214,60766952,MobyDick-217452,Paralelo-GPU,4
215,60188017,MobyDick-217452,Paralelo-GPU,4
216,62608087,MobyDick-217452,Paralelo-GPU,4
217,60760108,MobyDick-217452,Paralelo-GPU,4
218,61983247,MobyDick-217452,Paralelo-GPU,4
219,67697284,MobyDick-217452,Paralelo-GPU,4
220,88456520,MobyDick-217452,Paralelo-GPU,4
221,70450978,MobyDick-217452,Paralelo-GPU,4
222,64876591,MobyDick-217452,Paralelo-GPU,4
223,63983356,MobyDick-217452,Paralelo-GPU,4
224,71738729,MobyDick-217452,Paralelo-GPU,4
225,63482467,MobyDick-217452,Paralelo-GPU,4
226,63951168,MobyDick-217452,Paralelo-GPU,4
227,63774642,MobyDick-217452,Paralelo-GPU,4
228,67246252,MobyDick-217452,Paralelo-GPU,4
229,64185544,MobyDick-217452,Paralelo-GPU,4
230,63630609,MobyDick-217452,Paralelo-GPU,4
231,63610914,MobyDick-217452,Paralelo-GPU,4
232,68642438,MobyDick-217452,Paralelo-GPU,4
