Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
211,61984614,Dracula-165307,Paralelo-GPU,4
212,73268944,Dracula-165307,Paralelo-GPU,4
213,76467623,Dracula-165307,Paralelo-GPU,4
214,67712822,Dracula-165307,Paralelo-GPU,4
215,61797664,Dracula-165307,Paralelo-GPU,4
216,91198700,Dracula-165307,Paralelo-GPU,4
217,61102034,Dracula-165307,Paralelo-GPU,4
218,61829032,Dracula-165307,Paralelo-GPU,4
219,65058375,Dracula-165307,Paralelo-GPU,4
220,59178973,Dracula-165307,Paralelo-GPU,4
221,61906963,Dracula-165307,Paralelo-GPU,4
222,93256816,Dracula-165307,Paralelo-GPU,4
223,74814027,Dracula-165307,Paralelo-GPU,4
224,69545344,Dracula-165307,Paralelo-GPU,4
225,74820122,Dracula-165307,Paralelo-GPU,4
226,77843985,Dracula-165307,Paralelo-GPU,4
227,67698414,Dracula-165307,Paralelo-GPU,4
228,71064904,Dracula-165307,Paralelo-GPU,4
229,97477830,Dracula-165307,Paralelo-GPU,4
230,65966715,Dracula-165307,Paralelo-GPU,4
231,73509992,Dracula-165307,Paralelo-GPU,4
232,76672066,Dracula-165307,Paralelo-GPU,4
233,62564027,Dracula-165307,Paralelo-GPU,4
234,66003597,Dracula-165307,Paralelo-GPU,4
235,69136205,Dracula-165307,Paralelo-GPU,4
236,62087766,Dracula-165307,Paralelo-GPU,4
237,62507121,Dracula-165307,Paralelo-GPU,4
238,84469938,Dracula-165307,Paralelo-GPU,4
239,67763888,Dracula-165307,Paralelo-GPU,4
240,65424972,Dracula-165307,Paralelo-GPU,4
241,78863759,Dracula-165307,Paralelo-GPU,4
242,93976744,Dracula-165307,Paralelo-GPU,4
243,80044299,Dracula-165307,Paralelo-GPU,4
244,84947181,Dracula-165307,Paralelo-GPU,4
245,92959396,Dracula-165307,Paralelo-GPU,4
246,92802785,Dracula-165307,Paralelo-GPU,4
247,94030979,Dracula-165307,Paralelo-GPU,4
248,98237973,Dracula-165307,Paralelo-GPU,4
249,86583450,Dracula-165307,Paralelo-GPU,4
250,74198694,Dracula-165307,Paralelo-GPU,4
251,83012684,Dracula-165307,Paralelo-GPU,4
252,77992559,Dracula-165307,Paralelo-GPU,4
253,77557409,Dracula-165307,Paralelo-GPU,4
254,76447929,Dracula-165307,Paralelo-GPU,4
255,82058581,Dracula-165307,Paralelo-GPU,4
256,78282975,Dracula-165307,Paralelo-GPU,4
257,72965457,Dracula-165307,Paralelo-GPU,4
258,63624475,Dracula-165307,Paralelo-GPU,4
259,72758807,Dracula-165307,Paralelo-GPU,4
260,65078168,Dracula-165307,Paralelo-GPU,4
261,64587116,Dracula-165307,Paralelo-GPU,4
262,58895733,Dracula-165307,Paralelo-GPU,4
263,62839256,Dracula-165307,Paralelo-GPU,4
264,63557428,Dracula-165307,Paralelo-GPU,4
265,59375642,Dracula-165307,Paralelo-GPU,4
266,61239696,Dracula-165307,Paralelo-GPU,4
267,61806277,Dracula-165307,Paralelo-GPU,4
268,58239667,Dracula-165307,Paralelo-GPU,4
269,58019422,Dracula-165307,Paralelo-GPU,4
270,57643602,Dracula-165307,Paralelo-GPU,4
271,61721375,Dracula-165307,Paralelo-GPU,4
272,55901697,Dracula-165307,Paralelo-GPU,4
273,56655111,Dracula-165307,Paralelo-GPU,4
274,55974961,Dracula-165307,Paralelo-GPU,4
275,58710278,Dracula-165307,Paralelo-GPU,4
276,55469103,Dracula-165307,Paralelo-GPU,4
277,56699220,Dracula-165307,Paralelo-GPU,4
278,61108488,Dracula-165307,Paralelo-GPU,4
279,88171311,Dracula-165307,Paralelo-GPU,4
280,85104012,Dracula-165307,Paralelo-GPU,4
281,61022119,Dracula-165307,Paralelo-GPU,4
282,61134573,Dracula-165307,Paralelo-GPU,4
283,63548998,Dracula-165307,Paralelo-GPU,4
284,64754830,Dracula-165307,Paralelo-GPU,4
285,61182494,Dracula-165307,Paralelo-GPU,4
286,62537305,Dracula-165307,Paralelo-GPU,4
287,60312966,Dracula-165307,Paralelo-GPU,4
288,59644298,Dracula-165307,Paralelo-GPU,4
289,60813348,Dracula-165307,Paralelo-GPU,4
290,65558498,Dracula-165307,Paralelo-GPU,4
291,65225638,Dracula-165307,Paralelo-GPU,4
292,61420578,Dracula-165307,Paralelo-GPU,4
293,71292546,Dracula-165307,Paralelo-GPU,4
294,77994422,Dracula-165307,Paralelo-GPU,4
295,67767998,Dracula-165307,Paralelo-GPU,4
296,84696660,Dracula-165307,Paralelo-GPU,4
297,77465186,Dracula-165307,Paralelo-GPU,4
298,81398489,Dracula-165307,Paralelo-GPU,4
299,92284860,Dracula-165307,Paralelo-GPU,4
300,97405360,Dracula-165307,Paralelo-GPU,4
301,93106849,Dracula-165307,Paralelo-GPU,4
302,91716392,Dracula-165307,Paralelo-GPU,4
303,91102249,Dracula-165307,Paralelo-GPU,4
304,99894626,Dracula-165307,Paralelo-GPU,4
305,84489169,Dracula-165307,Paralelo-GPU,4
306,90819847,Dracula-165307,Paralelo-GPU,4
307,87267834,Dracula-165307,Paralelo-GPU,4
308,84685739,Dracula-165307,Paralelo-GPU,4
309,151613232,Dracula-165307,Paralelo-GPU,4
310,120029310,Dracula-165307,Paralelo-GPU,4
311,100217473,Dracula-165307,Paralelo-GPU,4
312,102609962,Dracula-165307,Paralelo-GPU,4
313,101760924,Dracula-165307,Paralelo-GPU,4
314,103376992,Dracula-165307,Paralelo-GPU,4
315,84525428,Dracula-165307,Paralelo-GPU,4
316,76557949,Dracula-165307,Paralelo-GPU,4
317,72215698,Dracula-165307,Paralelo-GPU,4
318,76717885,Dracula-165307,Paralelo-GPU,4
319,63614815,Dracula-165307,Paralelo-GPU,4
320,63937510,Dracula-165307,Paralelo-GPU,4
321,61484653,Dracula-165307,Paralelo-GPU,4
322,62591319,Dracula-165307,Paralelo-GPU,4
323,85655402,Dracula-165307,Paralelo-GPU,4
324,84527719,Dracula-165307,Paralelo-GPU,4
325,77303998,Dracula-165307,Paralelo-GPU,4
326,89939860,Dracula-165307,Paralelo-GPU,4
327,68500290,Dracula-165307,Paralelo-GPU,4
328,87862990,Dracula-165307,Paralelo-GPU,4
329,60816801,Dracula-165307,Paralelo-GPU,4
330,62858209,Dracula-165307,Paralelo-GPU,4
331,63187002,Dracula-165307,Paralelo-GPU,4
332,67395429,Dracula-165307,Paralelo-GPU,4
333,79526277,Dracula-165307,Paralelo-GPU,4
334,66586451,Dracula-165307,Paralelo-GPU,4
335,63935478,Dracula-165307,Paralelo-GPU,4
336,62539160,Dracula-165307,Paralelo-GPU,4
337,62910121,Dracula-165307,Paralelo-GPU,4
338,58395193,Dracula-165307,Paralelo-GPU,4
339,57627755,Dracula-165307,Paralelo-GPU,4
340,65825010,Dracula-165307,Paralelo-GPU,4
341,76154621,Dracula-165307,Paralelo-GPU,4
342,84595538,Dracula-165307,Paralelo-GPU,4
343,72596028,Dracula-165307,Paralelo-GPU,4
344,72542999,Dracula-165307,Paralelo-GPU,4
345,74123329,Dracula-165307,Paralelo-GPU,4
346,68417608,Dracula-165307,Paralelo-GPU,4
347,69333051,Dracula-165307,Paralelo-GPU,4
348,97411683,Dracula-165307,Paralelo-GPU,4
349,83178660,Dracula-165307,Paralelo-GPU,4
350,80534024,Dracula-165307,Paralelo-GPU,4
351,66382739,Dracula-165307,Paralelo-GPU,4
352,63408656,Dracula-165307,Paralelo-GPU,4
353,76447037,Dracula-165307,Paralelo-GPU,4
354,89441726,Dracula-165307,Paralelo-GPU,4
355,79503213,Dracula-165307,Paralelo-GPU,4
356,86366315,Dracula-165307,Paralelo-GPU,4
357,67559660,Dracula-165307,Paralelo-GPU,4
358,62821181,Dracula-165307,Paralelo-GPU,4
359,62081999,Dracula-165307,Paralelo-GPU,4
360,71233538,Dracula-165307,Paralelo-GPU,4
361,64525185,Dracula-165307,Paralelo-GPU,4
362,75537346,Dracula-165307,Paralelo-GPU,4
363,81570684,Dracula-165307,Paralelo-GPU,4
364,71632026,Dracula-165307,Paralelo-GPU,4
365,67654795,Dracula-165307,Paralelo-GPU,4
366,62743710,Dracula-165307,Paralelo-GPU,4
367,64402326,Dracula-165307,Paralelo-GPU,4
